Anio,Mes,CodigoPais,PaisDestino,LongitudPais,LatitudPais,CodigoDepto,DepartamentoOrigen,LongitudDpto,LatitudDpto,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolumenToneladas
2016,Marzo,275,Francia,20000000000,-460000000000,13,BOLÍVAR,-75.4964264795,10.3849883546,"0306171100 - LANGOSTINOS (GÉNEROS DE LA FAMILIA PENAEIDAE) ENTEROS CONGELADOS, SECOS, SALADOS, AHUMADOS O EN SALMUERA",Acuicultura,Pescado congelado,KG,93762,590.31,1833266.07,93.76
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,8329.35,65.15,204806.15,8.33
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,7272.73,48.6,148242.02,7.27
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0304420000 - FILETES DE TRUCHAS (SALMO TRUTTA, OCORHYNCHUS MYKISS, OCORHYNCHUS CLARKI, OCORHYNCHUS AGUABONITA, OCORHYNCHUS GILAE, OCORHYNCHUS APACHE Y OCORHYNCHUS CHRYSOGASTER) FRESCOS O REFRIGERADOS.",Acuicultura,Pescado fresco o refrigerado,KG,3446.72,29.92,92853.51,3.45
2016,Marzo,149,Canadá,-1136430000000,6010870000000,11,"BOGOTÁ, D. C.",-74.106715324,4.64993705899,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,385,2.54,7735.44,0.39
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,5,ANTIOQUIA,-75.5760017134,6.24858636743,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,8018,70.97,214487.72,8.02
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,"0302890000 - LOS DEMÁS PESCADOS, FRESCOS O REFRIGERADOS, EXCEPTO LOS HIGADOS , HUEVAS Y LECHAS.",Acuicultura,Pescado fresco o refrigerado,KG,258.3,1.5,4773.44,0.26
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,0304590000 - Las demás carnes de pescado (incluso picada) frescas o refrigeradas,Acuicultura,Pescado fresco o refrigerado,KG,3085.22,27.26,86332.15,3.09
2016,Marzo,149,Canadá,-1136430000000,6010870000000,25,CUNDINAMARCA,-74.6692192503,4.37531467846,"0304420000 - FILETES DE TRUCHAS (SALMO TRUTTA, OCORHYNCHUS MYKISS, OCORHYNCHUS CLARKI, OCORHYNCHUS AGUABONITA, OCORHYNCHUS GILAE, OCORHYNCHUS APACHE Y OCORHYNCHUS CHRYSOGASTER) FRESCOS O REFRIGERADOS.",Acuicultura,Pescado fresco o refrigerado,KG,18550.4,173.29,548156.05,18.55
2016,Marzo,211,Chile,-710000000000,-300000000000,41,HUILA,-75.2777314808,2.93555887476,"0302710000 - TILAPIAS (OREOCHROMIS SPP.) FRESCAS,REFRIGERADAS EXCEPTO LOS HIGADOS, HUEVAS Y LECHAS.",Acuicultura,Tilapia,KG,588,2.76,8435.42,0.59
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,41,HUILA,-75.2777314808,2.93555887476,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,208402.71,1567,4915600.54,208.4
2015,Noviembre,249,Estados Unidos,-985000000000,397600000000,41,HUILA,-75.2777314808,2.93555887476,"0304310000 - Filetes  de tilapia (Oreochromis spp.), frescos o refrigerados.",Acuicultura,Pescado fresco o refrigerado,KG,249809,1915.48,5799897.11,249.81
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,66,RISARALDA,-75.7190152322,4.80532287092,"0302110000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), frescas o refrigeradas, excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,21913.28,147.82,463962.1,21.91
2016,Marzo,249,Estados Unidos,-985000000000,397600000000,66,RISARALDA,-75.7190152322,4.80532287092,"0304420000 - FILETES DE TRUCHAS (SALMO TRUTTA, OCORHYNCHUS MYKISS, OCORHYNCHUS CLARKI, OCORHYNCHUS AGUABONITA, OCORHYNCHUS GILAE, OCORHYNCHUS APACHE Y OCORHYNCHUS CHRYSOGASTER) FRESCOS O REFRIGERADOS.",Acuicultura,Pescado fresco o refrigerado,KG,1973.16,14.95,47014.54,1.97
2016,Marzo,23,Alemania,105000000000,515000000000,76,VALLE DEL CAUCA,-76.5215601611,3.4144187719,"0303140000 - Truchas (salmo trutta, oncorhynchus mykiss, oncorhynchus clarki, oncorhynchus aguabonita, oncorhynchus gilae, oncorhynchus apache, oncorhynchus crysogaster), congeladas, excepto los filetes y excepto hígados, huevas y lechas.",Acuicultura,Truchas,KG,10535,41.85,127653.19,10.54
