Anio,Mes,CodigoPais,PaisDestino,CodigoDepto,DepartamentoOrigen,Partida,Cadena,Producto,CodigoUnidad,CantidadUnidades,ValorMilesFOBDol,ValorMilesPesos,VolúmenToneladas
2011,Agosto,249,Estados Unidos,76,Valle del Cauca,1005901100 - Maíz duro amarillo.,Maiz,Maíz,KG,26,0.08,135.03,0.03
2011,Agosto,317,Guatemala,76,Valle del Cauca,1005100000 - Maíz para la siembra.,Maiz,Maíz,KG,45,0.03,53.02,0.05
2011,Julio,589,Perú,11,Bogotá,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,25000,14.5,25481.58,25
2011,Julio,589,Perú,11,Bogotá,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,80000,19.4,34114.22,80
2011,Julio,589,Perú,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,1021.25,1.86,3272.5,1.02
2011,Julio,647,República Dominicana,11,Bogotá,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,40000,10.4,18297.86,40
2011,Julio,47,Antillas Holandesas,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,1500,1.51,2652.27,1.5
2011,Julio,97,Bolivia,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,10000,11.38,20084.45,10
2011,Julio,97,Bolivia,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,12000,5.8,10236.36,12
2011,Julio,97,Bolivia,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,47300,68.08,121041.1,47.3
2011,Julio,196,Costa Rica,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,44300,46.3,81626.41,44.3
2011,Julio,211,Chile,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,68050,98.08,173649.78,68.05
2011,Julio,211,Chile,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,365160,138.38,244296.74,365.16
2011,Julio,211,Chile,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,21500,21.61,38026.61,21.5
2011,Julio,239,Ecuador,5,Antioquia,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,105000,26.98,47554.24,105
2011,Julio,239,Ecuador,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,9500,2.56,4512.67,9.5
2011,Julio,239,Ecuador,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,28848,29.1,51200.73,28.85
2011,Julio,249,Estados Unidos,76,Valle del Cauca,1005901100 - Maíz duro amarillo.,Maiz,Maíz,KG,399,0.99,1748.9,0.4
2011,Julio,249,Estados Unidos,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,285,1.44,2543.86,0.28
2011,Julio,580,Panamá,11,Bogotá,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,255900,142.02,249597.94,255.9
2011,Julio,580,Panamá,76,Valle del Cauca,1102200000 - Harina de maíz.,Maiz,Harinas,KG,18000,18.3,32189.52,18
2011,Julio,580,Panamá,76,Valle del Cauca,1108120000 - Almidón de maíz.,Maiz,Almidones,KG,462000,285.36,502633.39,462
2011,Julio,589,Perú,5,Antioquia,2309909000 - Las demás preparaciones del tipo de las utilizadas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,26000,7.8,13708.42,26
2011,Julio,589,Perú,25,Cundinamarca,2309902000 - Premezclas para la alimentación de los animales.,Maiz,Preparaciones utilizadas para la alimentación de los animales.,KG,40000,53.62,94366.53,40
